name,type,uf
Brasil,pais,
Acre,estado,AC
Alagoas,estado,AL
Amapá,estado,AP
Amazonas,estado,AM
Bahia,estado,BA
Ceará,estado,CE
Distrito Federal,distrito_federal,DF
Espírito Santo,estado,ES
Goiás,estado,GO
Maranhão,estado,MA
Mato Grosso,estado,MT
Mato Grosso do Sul,estado,MS
Minas Gerais,estado,MG
Pará,estado,PA
Paraíba,estado,PB
Paraná,estado,PR
Pernambuco,estado,PE
Piauí,estado,PI
Rio de Janeiro,estado,RJ
Rio Grande do Norte,estado,RN
Rio Grande do Sul,estado,RS
Rondônia,estado,RO
Roraima,estado,RR
Santa Catarina,estado,SC
São Paulo,estado,SP
Sergipe,estado,SE
Tocantins,estado,TO
Abadia de Goiás,municipio,GO
Abadia dos Dourados,municipio,MG
Abadiânia,municipio,GO
Abaeté,municipio,MG
Abaetetuba,municipio,PA
Abaiara,municipio,CE
Abaíra,municipio,BA
Abaré,municipio,BA
Abatiá,municipio,PR
Abdon Batista,municipio,SC
Abel Figueiredo,municipio,PA
Abelardo Luz,municipio,SC
Abre Campo,municipio,MG
Abreu e Lima,municipio,PE
Abreulândia,municipio,TO
Acaiaca,municipio,MG
Açailândia,municipio,MA
Acajutiba,municipio,BA
Acará,municipio,PA
Acarape,municipio,CE
Acaraú,municipio,CE
Acari,municipio,RN
Acauã,municipio,PI
Aceguá,municipio,RS
Acopiara,municipio,CE
Acorizal,municipio,MT
Acrelândia,municipio,AC
Acreúna,municipio,GO
Açu,municipio,RN
Açucena,municipio,MG
Adamantina,municipio,SP
Adelândia,municipio,GO
Adolfo,municipio,SP
Adrianópolis,municipio,PR
Adustina,municipio,BA
Afogados da Ingazeira,municipio,PE
Afonso Bezerra,municipio,RN
Afonso Cláudio,municipio,ES
Afonso Cunha,municipio,MA
Afrânio,municipio,PE
Afuá,municipio,PA
Agrestina,municipio,PE
Agricolândia,municipio,PI
Agrolândia,municipio,SC
Agronômica,municipio,SC
Água Azul do Norte,municipio,PA
Água Boa,municipio,MG
Água Boa,municipio,MT
Água Branca,municipio,PI
Água Branca,municipio,PB
Água Branca,municipio,AL
Água Clara,municipio,MS
Água Comprida,municipio,MG
Água Doce,municipio,SC
Água Doce do Maranhão,municipio,MA
Água Doce do Norte,municipio,ES
Água Fria,municipio,BA
Água Fria de Goiás,municipio,GO
Água Limpa,municipio,GO
Água Nova,municipio,RN
Água Preta,municipio,PE
Água Santa,municipio,RS
Aguaí,municipio,SP
Aguanil,municipio,MG
Águas Belas,municipio,PE
Águas da Prata,municipio,SP
Águas de Chapecó,municipio,SC
Águas de Lindoia,municipio,SP
Águas de Santa Bárbara,municipio,SP
Águas de São Pedro,municipio,SP
Águas Formosas,municipio,MG
Águas Frias,municipio,SC
Águas Lindas de Goiás,municipio,GO
Águas Mornas,municipio,SC
Águas Vermelhas,municipio,MG
Agudo,municipio,RS
Agudos,municipio,SP
Agudos do Sul,municipio,PR
Águia Branca,municipio,ES
Aguiar,municipio,PB
Aguiarnópolis,municipio,TO
Aimorés,municipio,MG
Aiquara,municipio,BA
Aiuaba,municipio,CE
Aiuruoca,municipio,MG
Ajuricaba,municipio,RS
Alagoa,municipio,MG
Alagoa Grande,municipio,PB
Alagoa Nova,municipio,PB
Alagoinha,municipio,PB
Alagoinha,municipio,PE
Alagoinha do Piauí,municipio,PI
Alagoinhas,municipio,BA
Alambari,municipio,SP
Albertina,municipio,MG
Alcântara,municipio,MA
Alcântaras,municipio,CE
Alcantil,municipio,PB
Alcinópolis,municipio,MS
Alcobaça,municipio,BA
Aldeias Altas,municipio,MA
Alecrim,municipio,RS
Alegre,municipio,ES
Alegrete,municipio,RS
Alegrete do Piauí,municipio,PI
Alegria,municipio,RS
Além Paraíba,municipio,MG
Alenquer,municipio,PA
Alexandria,municipio,RN
Alexânia,municipio,GO
Alfenas,municipio,MG
Alfredo Chaves,municipio,ES
Alfredo Marcondes,municipio,SP
Alfredo Vasconcelos,municipio,MG
Alfredo Wagner,municipio,SC
Algodão de Jandaíra,municipio,PB
Alhandra,municipio,PB
Aliança,municipio,PE
Aliança do Tocantins,municipio,TO
Almadina,municipio,BA
Almas,municipio,TO
Almeirim,municipio,PA
Almenara,municipio,MG
Almino Afonso,municipio,RN
Almirante Tamandaré,municipio,PR
Almirante Tamandaré do Sul,municipio,RS
Aloândia,municipio,GO
Alpercata,municipio,MG
Alpestre,municipio,RS
Alpinópolis,municipio,MG
Alta Floresta,municipio,MT
Alta Floresta d'Oeste,municipio,RO
Altair,municipio,SP
Altamira,municipio,PA
Altamira do Maranhão,municipio,MA
Altamira do Paraná,municipio,PR
Altaneira,municipio,CE
Alterosa,municipio,MG
Altinho,municipio,PE
Altinópolis,municipio,SP
Alto Alegre,municipio,RR
Alto Alegre,municipio,SP
Alto Alegre,municipio,RS
Alto Alegre do Maranhão,municipio,MA
Alto Alegre do Pindaré,municipio,MA
Alto Alegre dos Parecis,municipio,RO
Alto Araguaia,municipio,MT
Alto Bela Vista,municipio,SC
Alto Boa Vista,municipio,MT
Alto Caparaó,municipio,MG
Alto do Rodrigues,municipio,RN
Alto Feliz,municipio,RS
Alto Garças,municipio,MT
Alto Horizonte,municipio,GO
Alto Jequitibá,municipio,MG
Alto Longá,municipio,PI
Alto Paraguai,municipio,MT
Alto Paraíso,municipio,RO
Alto Paraíso,municipio,PR
Alto Paraíso de Goiás,municipio,GO
Alto Paraná,municipio,PR
Alto Parnaíba,municipio,MA
Alto Piquiri,municipio,PR
Alto Rio Doce,municipio,MG
Alto Rio Novo,municipio,ES
Alto Santo,municipio,CE
Alto Taquari,municipio,MT
Altônia,municipio,PR
Altos,municipio,PI
Alumínio,municipio,SP
Alvarães,municipio,AM
Alvarenga,municipio,MG
Álvares Florence,municipio,SP
Álvares Machado,municipio,SP
Álvaro de Carvalho,municipio,SP
Alvinlândia,municipio,SP
Alvinópolis,municipio,MG
Alvorada,municipio,TO
Alvorada,municipio,RS
Alvorada d'Oeste,municipio,RO
Alvorada de Minas,municipio,MG
Alvorada do Gurgueia,municipio,PI
Alvorada do Norte,municipio,GO
Alvorada do Sul,municipio,PR
Amajari,municipio,RR
Amambai,municipio,MS
Amapá,municipio,AP
Amapá do Maranhão,municipio,MA
Amaporã,municipio,PR
Amaraji,municipio,PE
Amaral Ferrador,municipio,RS
Amaralina,municipio,GO
Amarante,municipio,PI
Amarante do Maranhão,municipio,MA
Amargosa,municipio,BA
Amaturá,municipio,AM
Amélia Rodrigues,municipio,BA
América Dourada,municipio,BA
Americana,municipio,SP
Americano do Brasil,municipio,GO
Américo Brasiliense,municipio,SP
Américo de Campos,municipio,SP
Ametista do Sul,municipio,RS
Amontada,municipio,CE
Amorinópolis,municipio,GO
Amparo,municipio,PB
Amparo,municipio,SP
Amparo de São Francisco,municipio,SE
Amparo do Serra,municipio,MG
Ampére,municipio,PR
Anadia,municipio,AL
Anagé,municipio,BA
Anahy,municipio,PR
Anajás,municipio,PA
Anajatuba,municipio,MA
Analândia,municipio,SP
Anamã,municipio,AM
Ananás,municipio,TO
Ananindeua,municipio,PA
Anápolis,municipio,GO
Anapu,municipio,PA
Anapurus,municipio,MA
Anastácio,municipio,MS
Anaurilândia,municipio,MS
Anchieta,municipio,ES
Anchieta,municipio,SC
Andaraí,municipio,BA
Andirá,municipio,PR
Andorinha,municipio,BA
Andradas,municipio,MG
Andradina,municipio,SP
André da Rocha,municipio,RS
Andrelândia,municipio,MG
Angatuba,municipio,SP
Angelândia,municipio,MG
Angélica,municipio,MS
Angelim,municipio,PE
Angelina,municipio,SC
Angical,municipio,BA
Angical do Piauí,municipio,PI
Angico,municipio,TO
Angicos,municipio,RN
Angra dos Reis,municipio,RJ
Anguera,municipio,BA
Ângulo,municipio,PR
Anhanguera,municipio,GO
Anhembi,municipio,SP
Anhumas,municipio,SP
Anicuns,municipio,GO
Anísio de Abreu,municipio,PI
Anita Garibaldi,municipio,SC
Anitápolis,municipio,SC
Anori,municipio,AM
Anta Gorda,municipio,RS
Antas,municipio,BA
Antonina,municipio,PR
Antonina do Norte,municipio,CE
Antônio Almeida,municipio,PI
Antônio Cardoso,municipio,BA
Antônio Carlos,municipio,MG
Antônio Carlos,municipio,SC
Antônio Dias,municipio,MG
Antônio Gonçalves,municipio,BA
Antônio João,municipio,MS
Antônio Martins,municipio,RN
Antônio Olinto,municipio,PR
Antônio Prado,municipio,RS
Antônio Prado de Minas,municipio,MG
Aparecida,municipio,PB
Aparecida,municipio,SP
Aparecida d'Oeste,municipio,SP
Aparecida de Goiânia,municipio,GO
Aparecida do Rio Doce,municipio,GO
Aparecida do Rio Negro,municipio,TO
Aparecida do Taboado,municipio,MS
Aperibé,municipio,RJ
Apiacá,municipio,ES
Apiacás,municipio,MT
Apiaí,municipio,SP
Apicum-Açu,municipio,MA
Apiúna,municipio,SC
Apodi,municipio,RN
Aporá,municipio,BA
Aporé,municipio,GO
Apuarema,municipio,BA
Apucarana,municipio,PR
Apuí,municipio,AM
Apuiarés,municipio,CE
Aquidabã,municipio,SE
Aquidauana,municipio,MS
Aquiraz,municipio,CE
Arabutã,municipio,SC
Araçagi,municipio,PB
Araçaí,municipio,MG
Aracaju,municipio,SE
Araçariguama,municipio,SP
Araças,municipio,BA
Aracati,municipio,CE
Aracatu,municipio,BA
Araçatuba,municipio,SP
Araci,municipio,BA
Aracitaba,municipio,MG
Aracoiaba,municipio,CE
Araçoiaba,municipio,PE
Araçoiaba da Serra,municipio,SP
Aracruz,municipio,ES
Araçu,municipio,GO
Araçuaí,municipio,MG
Aragarças,municipio,GO
Aragoiânia,municipio,GO
Aragominas,municipio,TO
Araguacema,municipio,TO
Araguaçu,municipio,TO
Araguaiana,municipio,MT
Araguaína,municipio,TO
Araguainha,municipio,MT
Araguanã,municipio,TO
Araguanã,municipio,MA
